id,name
employee_conf_seminar_basictrainingcourseonproperhandlingandtechniquesofslaughteringid,BASIC TRAINING COURSE ON PROPER HANDLING AND TECHNIQUES OF SLAUGHTERING
employee_conf_seminar_beautitudesofhappy&successfulpeopleid,BEAUTITUDES OF HAPPY & SUCCESSFUL PEOPLE
employee_conf_seminar_becominganeffectivehrmanagerid,BECOMING AN EFFECTIVE HR MANAGER
employee_conf_seminar_becomingcompetitivebusinessgraduateid,BECOMING COMPETITIVE BUSINESS GRADUATE
employee_conf_seminar_becomingcompetitivebusinessgraduateid,BECOMING COMPETITIVE BUSINESS GRADUATE
employee_conf_seminar_becomingcompetitivebusinessgraduatesid,BECOMING COMPETITIVE BUSINESS GRADUATES
employee_conf_seminar_becomingcompettitivebusinessgraduateid,BECOMING COMPETTITIVE BUSINESS GRADUATE
employee_conf_seminar_betteradvancementoneconomicknowledgeid,BETTER ADVANCEMENT ON ECONOMIC KNOWLEDGE
employee_conf_seminar_betteradvancementoneconomicknowledgeid,BETTER ADVANCEMENT ON ECONOMIC KNOWLEDGE
employee_conf_seminar_bigmakatiretreat/religionsseminarid,BIG MAKATI RETREAT/RELIGIONS SEMINAR
employee_conf_seminar_birrevenueregulation6-2005id,BIR REVENUE REGULATION 6-2005
employee_conf_seminar_birtaxupdatesid,BIR TAX UPDATES
employee_conf_seminar_bombawarenessid,BOMB AWARENESS
employee_conf_seminar_bombawarenessandbombthreatid,BOMB AWARENESS AND BOMB THREAT
employee_conf_seminar_bombsafetyawarenessanddetectionseminarid,BOMB SAFETY AWARENESS AND DETECTION SEMINAR
"employee_conf_seminar_bondawareness,firstaidandmallsecurityid","BOND AWARENESS, FIRST AID AND MALL SECURITY"
"employee_conf_seminar_bookeepingregulations,vatid","BOOKEEPING REGULATIONS, VAT"
employee_conf_seminar_borderlessmanagement&education:trends&perspectiveid,BORDERLESS MANAGEMENT & EDUCATION: TRENDS & PERSPECTIVE
employee_conf_seminar_branchisingseminarid,BRANCHISING SEMINAR
"employee_conf_seminar_breifingonphilcurrency,counterfeitdetectionandcleannotepolicyid","BREIFING ON PHIL. CURRENCY, COUNTERFEIT DETECTION AND CLEAN NOTE POLICY"
employee_conf_seminar_briefingofphilippinecurrencyid,BRIEFING OF PHILIPPINE CURRENCY
employee_conf_seminar_bsatdeptdayid,BSAT DEPT. DAY
employee_conf_seminar_bsc/pssrid,BSC / PSSR
employee_conf_seminar_buildingaself-esteemingenvironmentid,BUILDING A SELF-ESTEEMING ENVIRONMENT
employee_conf_seminar_buildingconstructionid,BUILDING CONSTRUCTION
employee_conf_seminar_buildingupthesociallyresponsiblestudentid,BUILDING UP THE SOCIALLY RESPONSIBLE STUDENT
employee_conf_seminar_busetiquetteandsocialgracesid,BUS. ETIQUETTE AND SOCIAL GRACES
employee_conf_seminar_businessadvocacyseminarontechnopreneurshipid,BUSINESS ADVOCACY SEMINAR ON TECHNOPRENEURSHIP
employee_conf_seminar_businesscongressid,BUSINESS CONGRESS
employee_conf_seminar_businessethicsid,BUSINESS ETHICS
employee_conf_seminar_businessetiquette&socialgracesid,BUSINESS ETIQUETTE & SOCIAL GRACES
employee_conf_seminar_businessetiquette&socialgracesid,BUSINESS ETIQUETTE & SOCIAL GRACES
employee_conf_seminar_businessetiquetteandsocialgracesid,BUSINESS ETIQUETTE AND SOCIAL GRACES
employee_conf_seminar_businessexpo2010id,BUSINESS EXPO 2010
employee_conf_seminar_businesshospitalyid,BUSINESS HOSPITALY
employee_conf_seminar_businessleadershipinthemilleniumid,BUSINESS LEADERSHIP IN THE MILLENIUM
employee_conf_seminar_businessproposalwritingseminarid,BUSINESS PROPOSAL WRITING SEMINAR
employee_conf_seminar_businessprotocolid,BUSINESS PROTOCOL
employee_conf_seminar_businesstaxsymposiumid,BUSINESS TAX SYMPOSIUM
employee_conf_seminar_businesstrainingcenterid,BUSINESS TRAINING CENTER
employee_conf_seminar_callcenter101id,CALL CENTER 101
employee_conf_seminar_callcenteragentfinishingcourseid,CALL CENTER AGENT FINISHING COURSE
employee_conf_seminar_capacitybuildingonteambuildingid,CAPACITY BUILDING ON TEAM BUILDING
employee_conf_seminar_careerdevelopmenttrainingid,CAREER DEVELOPMENT TRAINING
employee_conf_seminar_careerguidancecounselingid,CAREER GUIDANCE COUNSELING
employee_conf_seminar_careerguidanceseminarid,CAREER GUIDANCE SEMINAR
employee_conf_seminar_careerguidanceseminarid,CAREER GUIDANCE SEMINAR
employee_conf_seminar_careerguidanceseminarid,CAREER GUIDANCE SEMINAR
employee_conf_seminar_careerguidanceseminarid,CAREER GUIDANCE SEMINAR
employee_conf_seminar_careerguidanceseminarid,CAREER GUIDANCE SEMINAR
employee_conf_seminar_careerguidanceseminarforseniorstudentsid,CAREER GUIDANCE SEMINAR FOR SENIOR STUDENTS
employee_conf_seminar_careerinformationseminarid,CAREER INFORMATION SEMINAR
employee_conf_seminar_careeropportunitiesid,CAREER OPPORTUNITIES
"employee_conf_seminar_career,option,hiringseminarid","CAREER, OPTION, HIRING SEMINAR"
employee_conf_seminar_caritashealthinsuranceorientationid,CARITAS HEALTH INSURANCE ORIENTATION
employee_conf_seminar_carrerguidanceseminarforseniorstudentsid,CARRER GUIDANCE SEMINAR FOR SENIOR STUDENTS
employee_conf_seminar_casestudyonwelldrillingid,CASE STUDY ON WELL DRILLING
employee_conf_seminar_cashflowlendingid,CASH FLOW LENDING
employee_conf_seminar_cashieringcashcustodianshipandcounterdetectionseminarandworkshopid,CASHIERING CASH CUSTODIANSHIP AND COUNTER DETECTION SEMINAR AND WORKSHOP
"employee_conf_seminar_cashiering,cashcustodianship&counterfeitdetectionid","CASHIERING, CASH CUSTODIANSHIP & COUNTERFEIT DETECTION"
"employee_conf_seminar_cashiering,cashcustodianship,&counterfeit,detectionseminarid","CASHIERING, CASH CUSTODIANSHIP, & COUNTERFEIT, DETECTION SEMINAR"
employee_conf_seminar_castrolmotorcycleenginelubricationid,CASTROL MOTORCYCLE ENGINE LUBRICATION
employee_conf_seminar_cb/catcareerforumid,CB/CAT CAREER FORUM
employee_conf_seminar_cbafd-premembershipfoundationid,CBAFD-PRE MEMBERSHIP FOUNDATION
