id,name
employee_external_job_salesmanid,SALESMAN
employee_external_job_saleswomanid,SALESWOMAN
employee_external_job_sarisaristorevendorid,SARI SARI STORE VENDOR
employee_external_job_sari-saristoreid,SARI-SARI STORE
employee_external_job_sari-saristoreownerid,SARI-SARI STORE OWNER
employee_external_job_sari2storebusinessid,SARI2 STORE BUSINESS
employee_external_job_sari2storeownerid,SARI2 STORE OWNER
employee_external_job_schoolclerkid,SCHOOL CLERK
employee_external_job_schoolregistrarid,SCHOOL REGISTRAR
employee_external_job_schoolvendorid,SCHOOL VENDOR
employee_external_job_seamanid,SEAMAN
employee_external_job_secretary/clerkid,SECRETARY/CLERK
employee_external_job_securityguardid,SECURITY GUARD
employee_external_job_securitysupervisorid,SECURITY SUPERVISOR
employee_external_job_segurityguardid,SEGURITY GUARD
employee_external_job_sel-employedid,SEL-EMPLOYED
employee_external_job_selfemployedid,SELF EMPLOYED
employee_external_job_self-employedid,SELF-EMPLOYED
employee_external_job_senioragriculturistid,SENIOR AGRICULTURIST
employee_external_job_seniorcitezenid,SENIOR CITEZEN
employee_external_job_seniorcitizenid,SENIOR CITIZEN
employee_external_job_sewerid,SEWER
employee_external_job_shoemakerid,SHOE MAKER
employee_external_job_sr.citizenid,SR. CITIZEN
employee_external_job_ssspensionerid,SSS PENSIONER
employee_external_job_stockroomsupervisorid,STOCKROOM SUPERVISOR
employee_external_job_storekeeperid,STOREKEEPER
employee_external_job_streetsweeperid,STREET SWEEPER
employee_external_job_tailorid,TAILOR
employee_external_job_teacherid,TEACHER
employee_external_job_teacher(deseased)id,TEACHER (DESEASED)
employee_external_job_teachingid,TEACHING
employee_external_job_technicianid,TECHNICIAN
employee_external_job_technician/farmerid,TECHNICIAN/FARMER
employee_external_job_tenantid,TENANT
employee_external_job_therapistid,THERAPIST
employee_external_job_tricycledriverid,TRICYCLE DRIVER
employee_external_job_tricycledrverid,TRICYCLE DRVER
employee_external_job_truckdriverid,TRUCK DRIVER
employee_external_job_unemployedid,UNEMPLOYED
employee_external_job_vegetabledealerid,VEGETABLE DEALER
employee_external_job_vegetablelaborid,VEGETABLE LABOR
employee_external_job_vendirid,VENDIR
employee_external_job_vendorid,VENDOR
employee_external_job_watchrepairid,WATCH REPAIR
employee_external_job_watchwomanid,WATCH WOMAN
employee_external_job_welderid,WELDER
employee_external_job_welder/farmerid,WELDER/FARMER
employee_external_job_yblmechanicid,YBL MECHANIC
