"id","request_type_id:id","request_source_id:id"
"approval_rule_v6_others_head office__accountable forms_bu main","request_type_v6_accountable forms","request_source_v6_bu main"
"approval_rule_v6_others_head office__give aways_bu main","request_type_v6_give aways","request_source_v6_bu main"
"approval_rule_v6_others_hlrdc head office__labor services_bu main","request_type_v6_labor services","request_source_v6_bu main"
"approval_rule_v6_others_hlrdc head office__business travel authority (bta)_bu main","request_type_v6_business travel authority (bta)","request_source_v6_bu main"
"approval_rule_v6_others_hlrdc head office__repairs & maintenance_bu main","request_type_v6_repairs & maintenance","request_source_v6_bu main"
"approval_rule_v6_others_pumgas head office__business travel authority (bta)_bu main","request_type_v6_business travel authority (bta)","request_source_v6_bu main"
"approval_rule_v6_others_pumgas head office__borrowing of equipment_bu main","request_type_v6_borrowing of equipment","request_source_v6_bu main"
"approval_rule_v6_others_pumgas head office__item request_bu main","request_type_v6_item request","request_source_v6_bu main"
"approval_rule_v6_others_pumgas head office__inventory transfer_bu main","request_type_v6_inventory transfer","request_source_v6_bu main"
"approval_rule_v6_others_pumgas head office__repairs & maintenance_bu main","request_type_v6_repairs & maintenance","request_source_v6_bu main"
"approval_rule_v6_others_tig__travel and transportation_tig","request_type_v6_travel and transportation","request_source_v6_tig"
"approval_rule_v6_others_tig_mis_inventory_bu main","request_type_v6_inventory","request_source_v6_bu main"
"approval_rule_v6_others_tig__marketing activity_bu main","request_type_v6_marketing activity","request_source_v6_bu main"
"approval_rule_v6_others_tig_mis_travel and transportation_tig","request_type_v6_travel and transportation","request_source_v6_tig"
"approval_rule_v6_payment_asi__payables_mother account","request_type_v6_payables","request_source_v6_mother account"
"approval_rule_v6_payment_branch__payables_revolving fund","request_type_v6_payables","request_source_v6_revolving fund"
"approval_rule_v6_payment_branch__agent's commissions_revolving fund","request_type_v6_agent's commissions","request_source_v6_revolving fund"
"approval_rule_v6_payment_branch__retainer's fee_revolving fund","request_type_v6_retainer's fee","request_source_v6_revolving fund"
"approval_rule_v6_payment_branch__special fund for unit registration_bu main","request_type_v6_special fund for unit registration","request_source_v6_bu main"
"approval_rule_v6_payment_branch__payables_bu main","request_type_v6_payables","request_source_v6_bu main"
"approval_rule_v6_payment_branch__unit registration_revolving fund","request_type_v6_unit registration","request_source_v6_revolving fund"
"approval_rule_v6_payment_branch__marketing expenses_bu main","request_type_v6_marketing expenses","request_source_v6_bu main"
"approval_rule_v6_payment_branch__agent's commissions_bu main","request_type_v6_agent's commissions","request_source_v6_bu main"
"approval_rule_v6_payment_branch__marketing expenses_revolving fund","request_type_v6_marketing expenses","request_source_v6_revolving fund"
"approval_rule_v6_payment_branch__utility bills/rentals_bu main","request_type_v6_utility bills/rentals","request_source_v6_bu main"
"approval_rule_v6_payment_branch__penalty fees to goverment agencies_revolving fund","request_type_v6_penalty fees to goverment agencies","request_source_v6_revolving fund"
"approval_rule_v6_payment_branch__utility bills/rentals_revolving fund","request_type_v6_utility bills/rentals","request_source_v6_revolving fund"
"approval_rule_v6_payment_branch__travel expenses_revolving fund","request_type_v6_travel expenses","request_source_v6_revolving fund"
