"id","name","request_categ_id:id","department_id:id","department_level_id:id","approval_rule_ids:id"
"config_approval_v6_PAYMENTTIG","PAYMENTTIG","request_categ_payment",,"request_level_v6_tig","approval_rule_v6_payment_tig__payables_bu main,approval_rule_v6_payment_tig__salaries and wages_bu main,approval_rule_v6_payment_tig__payables_cbgfi,approval_rule_v6_payment_tig__separation pay_bu main,approval_rule_v6_payment_tig__salaries and wages_tig,approval_rule_v6_payment_tig__dividend_tig,approval_rule_v6_payment_tig__rentals_tig,approval_rule_v6_payment_tig__employees' incentives_bu main,approval_rule_v6_payment_tig__payables_tig,approval_rule_v6_payment_tig__separation pay_tig"
"config_approval_v6_PURCHASEBranch","PURCHASEBranch","request_categ_purchase",,"request_level_v6_branch","approval_rule_v6_purchase_branch__purchases(capex it equipment)_bu main,approval_rule_v6_purchase_branch__purchase (not capex)_bu main,approval_rule_v6_purchase_branch__purchases (capex)_bu main,approval_rule_v6_purchase_branch__purchase (not capex)_revolving fund,approval_rule_v6_purchase_branch__purchases(non-capex it equipment)_bu main,approval_rule_v6_purchase_branch__purchases ( trade inventory)_bu main"
"config_approval_v6_PURCHASEBRDC Head Office ","PURCHASEBRDC Head Office ","request_categ_purchase",,"request_level_v6_brdc head office ","approval_rule_v6_purchase_brdc head office __purchases that are not capex_revolving fund,approval_rule_v6_purchase_brdc head office __purchases(capex it equipment)_mother account,approval_rule_v6_purchase_brdc head office __trade inventory_mother account,approval_rule_v6_purchase_brdc head office __purchases (capex)_mother account"
"config_approval_v6_PURCHASEHead Office","PURCHASEHead Office","request_categ_purchase",,"request_level_v6_head office","approval_rule_v6_purchase_head office__purchases (capex)_bu main,approval_rule_v6_purchase_head office__purchase ( not capex-it equipment)_bu main,approval_rule_v6_purchase_head office__trade inventory _bu main,approval_rule_v6_purchase_head office__purchases(capex it equipment)_bu main,approval_rule_v6_purchase_head office__purchase (not capex)_bu main"
"config_approval_v6_PURCHASEHLRDC Head Office","PURCHASEHLRDC Head Office","request_categ_purchase",,"request_level_v6_hlrdc head office","approval_rule_v6_purchase_hlrdc head office__purchases(capex it equipment)_bu main,approval_rule_v6_purchase_hlrdc head office__supplies_bu main,approval_rule_v6_purchase_hlrdc head office__purchases (capex)_bu main,approval_rule_v6_purchase_hlrdc head office__trade inventory_bu main"
"config_approval_v6_PURCHASEINSURANCE SERVICES","PURCHASEINSURANCE SERVICES","request_categ_purchase",,"request_level_v6_insurance services","approval_rule_v6_purchase_insurance services__purchase ( capex-it equipment)_insurance services,approval_rule_v6_purchase_insurance services__purchase ( capex )_insurance services,approval_rule_v6_purchase_insurance services__purchase ( supplies )_insurance services"
"config_approval_v6_PURCHASEPUMGAS Head Office","PURCHASEPUMGAS Head Office","request_categ_purchase",,"request_level_v6_pumgas head office","approval_rule_v6_purchase_pumgas head office__purchases that are not capex_revolving fund,approval_rule_v6_purchase_pumgas head office__purchases (capex)_mother account,approval_rule_v6_purchase_pumgas head office__purchases(capex it equipment)_mother account"
"config_approval_v6_PURCHASETIG","PURCHASETIG","request_categ_purchase",,"request_level_v6_tig","approval_rule_v6_purchase_tig__purchases (non-capex it equipment)_bu main,approval_rule_v6_purchase_tig__trade inventory (sp)_bu main,approval_rule_v6_purchase_tig__purchases(capex it equipment)_bu main,approval_rule_v6_purchase_tig__purchases (capex)_tig,approval_rule_v6_purchase_tig__trade inventory (mc)_bu main,approval_rule_v6_purchase_tig__purchases(capex)_bu main,approval_rule_v6_purchase_tig__purchases ( not capex)_bu main,approval_rule_v6_purchase_tig__purchases(office supplies)_bu main,approval_rule_v6_purchase_tig__purchases(office supplies)_tig"
"config_approval_v6_PURCHASETIGMIS","PURCHASETIGMIS","request_categ_purchase","muti_hrms_data.6000030","request_level_v6_tig","approval_rule_v6_purchase_tig_mis_purchases (non-capex it equipment)_bu main,approval_rule_v6_purchase_tig_mis_purchases(capex it equipment)_bu main,approval_rule_v6_purchase_tig_mis_purchases ( not capex)_bu main,approval_rule_v6_purchase_tig_mis_trade inventory_bu main,approval_rule_v6_purchase_tig_mis_purchases(office supplies)_bu main,approval_rule_v6_purchase_tig_mis_purchases(capex)_bu main"
"config_approval_v6_REPAIRSTIGMIS","REPAIRSTIGMIS","request_categ_work order","muti_hrms_data.6000030","request_level_v6_tig","approval_rule_v6_repairs_tig_mis_repairs (capex)_tig,approval_rule_v6_repairs_tig_mis_repairs & maintenance_tig"
"config_approval_v6_REPAIRSTIG","REPAIRSTIG","request_categ_work order",,"request_level_v6_tig","approval_rule_v6_repairs_tig__repairs (capex)_tig,approval_rule_v6_repairs_tig__repairs & maintenance_tig,approval_rule_v6_repairs_tig__repairs and maintenance_bu main"
