"id","hr_job_id:id","priority","amount","approval_rule_id:id"
"approval_chain_407","muti_hrms_data.1136",3,0,"approval_rule_v6_cash_hlrdc head office__marketing expenses_bu main"
"approval_chain_409","muti_hrms_data.6208",2,0,"approval_rule_v6_cash_hlrdc head office__advances for operations_bu main"
"approval_chain_410","muti_hrms_data.1136",3,0,"approval_rule_v6_cash_hlrdc head office__advances for operations_bu main"
"approval_chain_412","muti_hrms_data.11033",2,0,"approval_rule_v6_cash_hlrdc head office__iou's_bu main"
"approval_chain_413","muti_hrms_data.6268",3,0,"approval_rule_v6_cash_hlrdc head office__iou's_bu main"
"approval_chain_414","muti_hrms_data.6208",4,0,"approval_rule_v6_cash_hlrdc head office__iou's_bu main"
"approval_chain_416","muti_hrms_data.6208",2,0,"approval_rule_v6_payment_hlrdc head office__utility bills_bu main"
"approval_chain_418","muti_hrms_data.6208",2,0,"approval_rule_v6_payment_hlrdc head office__retainer's fee_bu main"
"approval_chain_420","muti_hrms_data.6208",2,0,"approval_rule_v6_payment_hlrdc head office__managerial fee_bu main"
"approval_chain_421","muti_hrms_data.1136",3,0,"approval_rule_v6_payment_hlrdc head office__managerial fee_bu main"
"approval_chain_422","muti_hrms_data.1043",4,0,"approval_rule_v6_payment_hlrdc head office__managerial fee_bu main"
"approval_chain_424","muti_hrms_data.6208",2,0,"approval_rule_v6_payment_hlrdc head office__rentals ( building )_bu main"
"approval_chain_426","muti_hrms_data.6208",2,0,"approval_rule_v6_payment_hlrdc head office__rentals ( equipment )_bu main"
"approval_chain_427","muti_hrms_data.1136",3,0,"approval_rule_v6_payment_hlrdc head office__rentals ( equipment )_bu main"
"approval_chain_429","muti_hrms_data.6208",2,0,"approval_rule_v6_payment_hlrdc head office__gratuity expenses_bu main"
"approval_chain_430","muti_hrms_data.1136",3,0,"approval_rule_v6_payment_hlrdc head office__gratuity expenses_bu main"
"approval_chain_432","muti_hrms_data.6208",2,0,"approval_rule_v6_payment_hlrdc head office__fund transfer_bu main"
"approval_chain_433","muti_hrms_data.1136",3,0,"approval_rule_v6_payment_hlrdc head office__fund transfer_bu main"
"approval_chain_435","muti_hrms_data.6208",2,0,"approval_rule_v6_payment_hlrdc head office__salaries and wages_bu main"
"approval_chain_436","muti_hrms_data.1136",3,0,"approval_rule_v6_payment_hlrdc head office__salaries and wages_bu main"
"approval_chain_438","muti_hrms_data.6208",2,0,"approval_rule_v6_payment_hlrdc head office__separation pay_bu main"
"approval_chain_439","muti_hrms_data.1136",3,0,"approval_rule_v6_payment_hlrdc head office__separation pay_bu main"
"approval_chain_441","muti_hrms_data.6208",2,0,"approval_rule_v6_payment_hlrdc head office__statutory expenses_bu main"
"approval_chain_442","muti_hrms_data.1136",3,0,"approval_rule_v6_payment_hlrdc head office__statutory expenses_bu main"
"approval_chain_444","muti_hrms_data.6208",2,0,"approval_rule_v6_payment_hlrdc head office__payables_bu main"
"approval_chain_445","muti_hrms_data.1136",3,0,"approval_rule_v6_payment_hlrdc head office__payables_bu main"
"approval_chain_447","muti_hrms_data.6208",2,0,"approval_rule_v6_payment_hlrdc head office__agent's commissions_bu main"
"approval_chain_448","muti_hrms_data.1136",3,0,"approval_rule_v6_payment_hlrdc head office__agent's commissions_bu main"
"approval_chain_450","muti_hrms_data.6208",2,0,"approval_rule_v6_payment_hlrdc head office__permit and licenses/processing fee_bu main"
"approval_chain_451","muti_hrms_data.1136",3,0,"approval_rule_v6_payment_hlrdc head office__permit and licenses/processing fee_bu main"
"approval_chain_452","muti_hrms_data.1043",4,0,"approval_rule_v6_payment_hlrdc head office__permit and licenses/processing fee_bu main"
"approval_chain_454","muti_hrms_data.6208",2,0,"approval_rule_v6_purchase_hlrdc head office__purchases (capex)_bu main"
"approval_chain_455","muti_hrms_data.1043",4,0,"approval_rule_v6_purchase_hlrdc head office__purchases (capex)_bu main"
"approval_chain_456","muti_hrms_data.6208",2,0,"approval_rule_v6_purchase_hlrdc head office__purchases(capex it equipment)_bu main"
"approval_chain_457","muti_hrms_data.6222",3,0,"approval_rule_v6_purchase_hlrdc head office__purchases(capex it equipment)_bu main"
"approval_chain_458","muti_hrms_data.1043",5,0,"approval_rule_v6_purchase_hlrdc head office__purchases(capex it equipment)_bu main"
"approval_chain_459","muti_hrms_data.6208",2,0,"approval_rule_v6_purchase_hlrdc head office__supplies_bu main"
"approval_chain_460","muti_hrms_data.6208",2,0,"approval_rule_v6_purchase_hlrdc head office__trade inventory_bu main"
"approval_chain_461","muti_hrms_data.1136",3,0,"approval_rule_v6_purchase_hlrdc head office__trade inventory_bu main"
"approval_chain_462","muti_hrms_data.1043",4,0,"approval_rule_v6_purchase_hlrdc head office__trade inventory_bu main"
"approval_chain_465","hr_job_immediate superior",2,0,"approval_rule_v6_others_hlrdc head office__business travel authority (bta)_bu main"
"approval_chain_466","hr_job_immediate superior",2,0,"approval_rule_v6_purchase_tig__purchases(capex it equipment)_bu main"
"approval_chain_467","hr_job_immediate superior",2,0,"approval_rule_v6_cash_tig__mortuary_bu main"
"approval_chain_468","muti_hrms_data.1136",4,0,"approval_rule_v6_cash_tig__mortuary_bu main"
"approval_chain_469","muti_hrms_data.1136",3,0,"approval_rule_v6_purchase_hlrdc head office__purchases (capex)_bu main"
"approval_chain_471","muti_hrms_data.1136",4,0,"approval_rule_v6_purchase_hlrdc head office__purchases(capex it equipment)_bu main"
"approval_chain_473","muti_hrms_data.1136",3,0,"approval_rule_v6_purchase_hlrdc head office__supplies_bu main"
"approval_chain_475","muti_hrms_data.6208",2,0,"approval_rule_v6_others_hlrdc head office__repairs & maintenance_bu main"
"approval_chain_476","muti_hrms_data.1136",3,0,"approval_rule_v6_others_hlrdc head office__repairs & maintenance_bu main"
"approval_chain_477","muti_hrms_data.1136",2,0,"approval_rule_v6_others_hlrdc head office__labor services_bu main"
"approval_chain_480","hr_job_immediate superior",2,0,"approval_rule_v6_cash_tig__professional fee_tig"
"approval_chain_481","muti_hrms_data.11033",3,0,"approval_rule_v6_cash_tig__professional fee_tig"
"approval_chain_483","muti_hrms_data.6208",3,0,"approval_rule_v6_cash_tig__mortuary_bu main"
"approval_chain_485","muti_hrms_data.11033",2,0,"approval_rule_v6_cash_asi__cash advance_tig"
"approval_chain_487","muti_hrms_data.11033",2,0,"approval_rule_v6_cash_asi__petty cash fund replenishment_mother account"
"approval_chain_489","muti_hrms_data.11033",2,0,"approval_rule_v6_cash_asi__fund transfer_mother account"
"approval_chain_491","muti_hrms_data.11033",2,0,"approval_rule_v6_payment_asi__payables_mother account"
"approval_chain_493","hr_job_immediate superior",2,0,"approval_rule_v6_cash_tig__fund transfer_tig"
"approval_chain_495","hr_job_immediate superior",2,0,"approval_rule_v6_purchase_tig__purchases ( not capex)_bu main"
"approval_chain_496","muti_hrms_data.11033",3,0,"approval_rule_v6_purchase_tig__purchases ( not capex)_bu main"
"approval_chain_497","muti_hrms_data.1136",5,0,"approval_rule_v6_purchase_tig__purchases ( not capex)_bu main"
"approval_chain_498","muti_hrms_data.6208",4,0,"approval_rule_v6_purchase_tig__purchases ( not capex)_bu main"
"approval_chain_499","muti_hrms_data.1136",4,0,"approval_rule_v6_payment_tig__payables_bu main"
