company_id:id,id,name
muti_base.res_company_bu000003id,hr_department_03000001id,MAIN
muti_base.res_company_branch_hondahomeoffice,hr_department_03000005id,MANAGEMENT TEAM
muti_base.res_company_bu000003id,hr_department_03000012id,MARAMAG
muti_base.res_company_bu000003id,hr_department_03000009id,MARBEL
muti_base.res_company_branch_hondahomeoffice,hr_department_03000018id,MARKETING SERVICES DEPARTMENT
muti_base.res_company_branch_hondahomeoffice,hr_department_03000004id,MC BODEGA
muti_base.res_company_bu000003id,hr_department_03000006id,MUTI TORIL
muti_base.res_company_branch_hondahomeoffice,hr_department_03000010id,OFFICE OF THE PRESIDENT
muti_base.res_company_branch_hondahomeoffice,hr_department_03000013id,OPERATIONS GROUP
muti_base.res_company_bu000003id,hr_department_03000016id,PARTS & SERVICES
muti_base.res_company_branch_hondahomeoffice,hr_department_03000007id,REPAIR & MAINTENANCE
muti_base.res_company_branch_hondahomeoffice,hr_department_03000017id,SPARE PARTS AND SERVICE
muti_base.res_company_bu000003id,hr_department_03000002id,SURALLAH
muti_base.res_company_branch_mutihomeoffice,hr_department_01000010id,ACCOUNTING
muti_base.res_company_bu000001id,hr_department_01000059id,AGDAO
muti_base.res_company_bu000001id,hr_department_01000092id,ALABEL PROPER
muti_base.res_company_branch_mutihomeoffice,hr_department_01000011id,AUDIT
muti_base.res_company_branch_mutihomeoffice,hr_department_01000096id,BANGA PROPER
muti_base.res_company_branch_mutihomeoffice,hr_department_01000007id,BIKE
muti_base.res_company_bu000001id,hr_department_01000069id,BUHANGIN
muti_base.res_company_bu000001id,hr_department_01000065id,BUTUAN
muti_base.res_company_bu000001id,hr_department_01000064id,CAGAYAN CITY PROPER ( DO NOT USE)
muti_base.res_company_bu000001id,hr_department_01000070id,CAGAYAN DE ORO
muti_base.res_company_bu000001id,hr_department_01000067id,CALINAN
muti_base.res_company_bu000001id,hr_department_01000072id,CALINAN (DON'T USE)
muti_base.res_company_bu000001id,hr_department_01000063id,CARE FOUNDATION
muti_base.res_company_bu000001id,hr_department_01000095id,CFI-ISULAN BRANCH
muti_base.res_company_branch_mutihomeoffice,hr_department_01000112id,CHECKER / ENCODER
muti_base.res_company_bu000001id,hr_department_01000062id,COTABATO CITY PROPER
muti_base.res_company_branch_mutihomeoffice,hr_department_01000055id,DAVAO AIRPORT
muti_base.res_company_bu000001id,hr_department_01000066id,DAVAO CITY PROPER
muti_base.res_company_bu000001id,hr_department_01000009id,DIGOS
muti_base.res_company_bu000001id,hr_department_01000081id,DIPOLOG
muti_base.res_company_branch_mutihomeoffice,hr_department_01000014id,DOCUMENTATION & PROCESSING
