id,vecmodel_id,brand_id/id,name,old_model_code
product_model_00000000250,00000000250,product_brand_00000000003,ANF125MSPA2-BLO REPSOL,
product_model_00000000251,00000000251,product_brand_00000000004,KLX150 JFF NEW,
product_model_00000000252,00000000252,product_brand_00000000003,ACG110CBTG ZOOMER NEW,
product_model_00000000253,00000000253,product_brand_00000000003,XRM110T,
product_model_00000000254,00000000254,product_brand_00000000005,MSX125-IV,
product_model_00000000255,00000000255,product_brand_00000000003,ANF100MDPW,
product_model_00000000256,00000000256,product_brand_00000000003,ANF100MSPJ,
product_model_00000000257,00000000257,product_brand_00000000007,FJ110 (AUTOMATIC) RAIDER J,
product_model_00000000258,00000000258,product_brand_00000000003,FS150 RG (RS150) NEW  ,
product_model_00000000259,00000000259,product_brand_00000000002,ROUSER NS150 (ROUSER 150AA),
product_model_00000000260,00000000260,product_brand_00000000004,BC175FGF (KICK NEW),
product_model_00000000261,00000000261,product_brand_00000000003,ANF125,
product_model_00000000262,00000000262,product_brand_00000000003,FS150RG II (RS150 REPSOL),
product_model_00000000263,00000000263,product_brand_00000000003,DASH110 AFP110CSD,
product_model_00000000265,00000000265,product_brand_00000000004,BC175GGF NEW ELECTRIC,
product_model_,,product_brand_0000000492,COMMON,
product_model_000001,000001,product_brand_0000000005,NVH/PLATINUM/PNM,
product_model_000002,000002,product_brand_0000000005,,
product_model_000003,000003,product_brand_0000000005,,
product_model_000004,000004,product_brand_0000000005,,
product_model_000005,000005,product_brand_0000000005,,
product_model_000006,000006,product_brand_0000000005,MCC,
product_model_000007,000007,product_brand_0000000005,MCC,
product_model_000008,000008,product_brand_0000000005,MCC,
product_model_000009,000009,product_brand_0000000005,MCC,
product_model_000010,000010,product_brand_0000000005,,
product_model_000011,000011,product_brand_0000000005,,
product_model_000012,000012,product_brand_0000000006,TMC,
product_model_000014,000014,product_brand_0000000005,PLATINUM/TMC,
product_model_000015,000015,product_brand_0000000005,HCC,
product_model_000016,000016,product_brand_0000000005,HCC,
product_model_000017,000017,product_brand_0000000005,,
product_model_000018,000018,product_brand_0000000006,TMC/PLATINUM,
product_model_000019,000019,product_brand_0000000005,TMC,
product_model_000020,000020,product_brand_0000000005,,
product_model_000021,000021,product_brand_0000000005,,
product_model_000022,000022,product_brand_0000000005,,
product_model_000023,000023,product_brand_0000000007,,
product_model_000027,000027,product_brand_0000000008,MCKY,
product_model_000028,000028,product_brand_0000000009,PLATINUM,
product_model_000029,000029,product_brand_0000000009,,
product_model_000030,000030,product_brand_0000000005,MCC,
product_model_000031,000031,product_brand_0000000005,MCC,
product_model_000032,000032,product_brand_0000000005,MCC,
product_model_000034,000034,product_brand_0000000367,PBC,
product_model_000035,000035,product_brand_0000000011,,
product_model_000037,000037,product_brand_0000000011,,
product_model_000038,000038,product_brand_0000000005,TRK/TMC/PNM,
product_model_000039,000039,product_brand_0000000005,PBC/TMC,
product_model_000040,000040,product_brand_0000000005,TMC,
product_model_000041,000041,product_brand_0000000005,TRK/TMC,
product_model_000042,000042,product_brand_0000000005,TRK,
product_model_000044,000044,product_brand_0000000005,TMC,
product_model_000045,000045,product_brand_0000000012,TRI-MARK,
product_model_000047,000047,product_brand_0000000005,,
product_model_000049,000049,product_brand_0000000006,TRI-MARK,
product_model_000051,000051,product_brand_0000000005,,
product_model_000052,000052,product_brand_0000000005,,
product_model_000053,000053,product_brand_0000000005,,
product_model_000054,000054,product_brand_0000000005,,
product_model_000057,000057,product_brand_0000000013,DL,
product_model_000058,000058,product_brand_0000000323,MCC,
product_model_000059,000059,product_brand_0000000015,PBC,
product_model_000060,000060,product_brand_0000000005,MCC,
product_model_000061,000061,product_brand_0000000005,,
product_model_000064,000064,product_brand_0000001289,HCC,
product_model_000065,000065,product_brand_0000000017,CRB/PBC,
product_model_000066,000066,product_brand_0000000018,HCC,
product_model_000067,000067,product_brand_0000000019,PBC,
product_model_000069,000069,product_brand_0000000005,MCC,
product_model_000070,000070,product_brand_0000000005,,
product_model_000072,000072,product_brand_0000000020,,
product_model_000073,000073,product_brand_0000000021,,
product_model_000074,000074,product_brand_0000000005,,
product_model_000075,000075,product_brand_0000000022,,
product_model_000076,000076,product_brand_V000000152,BRU,
product_model_000077,000077,product_brand_0000000005,,
product_model_000078,000078,product_brand_0000000005,MCC/PBC,
product_model_000079,000079,product_brand_0000000005,PBC,
product_model_000080,000080,product_brand_0000000005,,
product_model_000081,000081,product_brand_0000000007,HCC,
product_model_000082,000082,product_brand_0000000005,MCC,
product_model_000083,000083,product_brand_0000000278,NVH,
product_model_000085,000085,product_brand_0000000032,CRB,
