id,barcode_affix,name,parent_id/id,removal_strategy_id/id
major_class_113,01,MC,product_category_sp,
make_113,01,Honda,major_class_113,
group_113,09,Electricals,make_113,
subgroup_113,031,"Switch, Key Set",group_113,
major_class_114,01,MC,product_category_sp,
make_114,01,Honda,major_class_114,
group_114,09,Electricals,make_114,
subgroup_114,032,"Switch, Stop Light",group_114,
major_class_115,01,MC,product_category_sp,
make_115,01,Honda,major_class_115,
group_115,09,Electricals,make_115,
subgroup_115,033,Weight Governor,group_115,
major_class_116,01,MC,product_category_sp,
make_116,01,Honda,major_class_116,
group_116,09,Electricals,make_116,
subgroup_116,034,"Winker, Switch Set",group_116,
major_class_117,01,MC,product_category_sp,
make_117,01,Honda,major_class_117,
group_117,09,Electricals,make_117,
subgroup_117,035,Wire Harness,group_117,
major_class_118,01,MC,product_category_sp,
make_118,01,Honda,major_class_118,
group_118,10,Engine Parts,make_118,
subgroup_118,001,Air Cleaner,group_118,
major_class_119,01,MC,product_category_sp,
make_119,01,Honda,major_class_119,
group_119,10,Engine Parts,make_119,
subgroup_119,002,"Arm, Gear Shift",group_119,
major_class_120,01,MC,product_category_sp,
make_120,01,Honda,major_class_120,
group_120,10,Engine Parts,make_120,
subgroup_120,003,Belt,group_120,
major_class_121,01,MC,product_category_sp,
make_121,01,Honda,major_class_121,
group_121,10,Engine Parts,make_121,
subgroup_121,004,Cam Follower,group_121,
major_class_122,01,MC,product_category_sp,
make_122,01,Honda,major_class_122,
group_122,10,Engine Parts,make_122,
subgroup_122,005,Cam Lobe,group_122,
major_class_123,01,MC,product_category_sp,
make_123,01,Honda,major_class_123,
group_123,10,Engine Parts,make_123,
subgroup_123,006,"Cam, Gear Shift",group_123,
major_class_124,01,MC,product_category_sp,
make_124,01,Honda,major_class_124,
group_124,10,Engine Parts,make_124,
subgroup_124,007,Camshaft Complete,group_124,
major_class_125,01,MC,product_category_sp,
make_125,01,Honda,major_class_125,
group_125,10,Engine Parts,make_125,
subgroup_125,008,Cap,group_125,
major_class_126,01,MC,product_category_sp,
make_126,01,Honda,major_class_126,
group_126,10,Engine Parts,make_126,
subgroup_126,009,Center Clutch,group_126,
major_class_127,01,MC,product_category_sp,
make_127,01,Honda,major_class_127,
group_127,10,Engine Parts,make_127,
subgroup_127,010,Chain Cam Follower,group_127,
major_class_128,01,MC,product_category_sp,
make_128,01,Honda,major_class_128,
group_128,10,Engine Parts,make_128,
subgroup_128,011,Clutch Disc,group_128,
major_class_129,01,MC,product_category_sp,
make_129,01,Honda,major_class_129,
group_129,10,Engine Parts,make_129,
subgroup_129,012,Clutch Housing Assembly,group_129,
major_class_130,01,MC,product_category_sp,
make_130,01,Honda,major_class_130,
group_130,10,Engine Parts,make_130,
subgroup_130,013,Clutch Lever,group_130,
major_class_131,01,MC,product_category_sp,
make_131,01,Honda,major_class_131,
group_131,10,Engine Parts,make_131,
subgroup_131,014,Clutch Lifter,group_131,
major_class_132,01,MC,product_category_sp,
make_132,01,Honda,major_class_132,
group_132,10,Engine Parts,make_132,
subgroup_132,015,Clutch Lining,group_132,
major_class_133,01,MC,product_category_sp,
make_133,01,Honda,major_class_133,
group_133,10,Engine Parts,make_133,
subgroup_133,016,Clutch Oneway,group_133,
major_class_134,01,MC,product_category_sp,
make_134,01,Honda,major_class_134,
group_134,10,Engine Parts,make_134,
subgroup_134,017,Clutch Plate,group_134,
major_class_135,01,MC,product_category_sp,
make_135,01,Honda,major_class_135,
group_135,10,Engine Parts,make_135,
subgroup_135,018,Clutch Weight,group_135,
major_class_136,01,MC,product_category_sp,
make_136,01,Honda,major_class_136,
group_136,10,Engine Parts,make_136,
subgroup_136,019,"Clutch, Outer Complete",group_136,
major_class_137,01,MC,product_category_sp,
make_137,01,Honda,major_class_137,
group_137,10,Engine Parts,make_137,
subgroup_137,020,Connecting Rod,group_137,
major_class_138,01,MC,product_category_sp,
make_138,01,Honda,major_class_138,
group_138,10,Engine Parts,make_138,
subgroup_138,021,Contact Breaker,group_138,
major_class_139,01,MC,product_category_sp,
make_139,01,Honda,major_class_139,
group_139,10,Engine Parts,make_139,
subgroup_139,022,Cotter Pin,group_139,
major_class_140,01,MC,product_category_sp,
make_140,01,Honda,major_class_140,
group_140,10,Engine Parts,make_140,
subgroup_140,023,Cotter Valve,group_140,
major_class_141,01,MC,product_category_sp,
make_141,01,Honda,major_class_141,
group_141,10,Engine Parts,make_141,
subgroup_141,024,Counter Shaft ,group_141,
major_class_142,01,MC,product_category_sp,
make_142,01,Honda,major_class_142,
group_142,10,Engine Parts,make_142,
subgroup_142,025,"Cover, Oil Filter",group_142,
major_class_143,01,MC,product_category_sp,
make_143,01,Honda,major_class_143,
group_143,10,Engine Parts,make_143,
